Africa,Western Africa,Guinea,WHO Estimate, 956 ,,,,, 973 ,,,,," 1,019 ",,,,," 1,067 ",,, 10.9 ,,,,, 10.1 ,,,,, 9.4 ,,,,, 8.8 ,
Africa,Western Africa,Guinea-Bissau,WHO Estimate, 162 ,,,,, 161 ,,,,, 163 ,,,,, 169 ,,, 13.0 ,,,,, 11.7 ,,,,, 10.5 ,,,,, 9.5 ,
Africa,Western Africa,Liberia,UNMIL,,,,,,,, 100 , 177 , 145 , 129 , 161 , 135 ,,,,,,,,,,,,, 2.8 , 4.8 , 3.8 , 3.3 , 4.0 , 3.2 ,,,,
Africa,Western Africa,Mali,WHO Estimate," 1,413 ",,,,," 1,623 ",,,,," 1,836 ",,,,," 1,905 ",,, 12.9 ,,,,, 12.7 ,,,,, 12.2 ,,,,, 10.9 ,
Africa,Western Africa,Mauritania,WHO Estimate, 371 ,,,,, 388 ,,,,, 392 ,,,,, 416 ,,, 13.7 ,,,,, 12.4 ,,,,, 10.9 ,,,,, 9.9 ,
Africa,Western Africa,Niger,WHO,,,,,,,,,,,, 831 , 788 ,,,,,,,,,,,,,,,,, 4.9 , 4.4 ,,,,
Africa,Western Africa,Nigeria,WHO Estimate," 15,605 ",,,,," 16,423 ",,,,," 16,996 ",,,,," 17,843 ",,, 12.8 ,,,,, 11.8 ,,,,, 10.7 ,,,,, 9.8 ,
Africa,Western Africa,Saint Helena,NSO, -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   ,,,,,,,,, -   , -   , -   , -   , 22.7 , -   , -   , -   , -   , -   ,,,,,,,
Africa,Western Africa,Senegal,WHO Estimate, 984 ,,,,," 1,047 ",,,,," 1,099 ",,,,," 1,105 ",,, 10.0 ,,,,, 9.3 ,,,,, 8.5 ,,,,, 7.4 ,
Africa,Western Africa,Sierra Leone,UNSDC/NP/SDG,,,,, 112 , 99 , 101 , 134 , 184 , 158 , 163 , 187 , 113 ,,, 124 ,,,,,,, 2.1 , 1.7 , 1.7 , 2.2 , 3.0 , 2.5 , 2.5 , 2.8 , 1.7 ,,, 1.7 ,
Africa,Western Africa,Togo,WHO Estimate, 522 ,,,,, 606 ,,,,, 625 ,,,,, 668 ,,, 10.5 ,,,,, 10.7 ,,,,, 9.6 ,,,,, 9.0 ,
Americas,Caribbean,Anguilla,NSO/SDG/PAHO, 1 , -   , 2 , 2 , 1 , -   , 5 , 4 , 1 , 1 , -   , -   , 5 , 1 , 4 ,,,, 9.0 , -   , 17.1 , 16.6 , 8.1 , -   , 38.8 , 30.4 , 7.5 , 7.4 , -   , -   , 35.4 , 7.0 , 27.7 ,,
Americas,Caribbean,Antigua and Barbuda,OAS, 5 , 7 , 5 , 5 , 4 , 3 , 11 , 17 , 16 , 16 , 6 ,, 10 ,,,,,, 6.0 , 8.2 , 5.8 , 5.7 , 4.5 , 3.4 , 12.2 , 18.6 , 17.3 , 17.1 , 6.3 ,, 10.3 ,,,,
Americas,Caribbean,Aruba,MD,, 4 , 5 , 4 , 2 , 6 , 5 , 3 , 5 , 4 , 4 , 2 , 4 , 6 , 2 ,,,,, 4.3 , 5.3 , 4.1 , 2.0 , 6.0 , 5.0 , 3.0 , 4.9 , 3.9 , 3.9 , 2.0 , 3.9 , 5.8 , 1.9 ,,
Americas,Caribbean,Bahamas,OAS/CTS/NP, 74 , 43 , 52 , 50 , 44 , 52 , 61 , 78 , 73 , 87 , 94 , 127 , 111 , 119 , 123 , 146 , 111 ,, 24.8 , 14.2 , 16.8 , 15.8 , 13.6 , 15.8 , 18.2 , 22.8 , 20.9 , 24.5 , 26.1 , 34.6 , 29.8 , 31.5 , 32.2 , 37.7 , 28.4 
Americas,Caribbean,Barbados,OAS/CTS, 20 , 25 , 25 , 33 , 22 , 29 , 35 , 25 , 23 , 19 , 31 , 27 , 22 , 24 , 25 , 31 ,,, 7.4 , 9.2 , 9.2 , 12.1 , 8.1 , 10.6 , 12.7 , 9.1 , 8.3 , 6.8 , 11.1 , 9.6 , 7.8 , 8.5 , 8.8 , 10.9 ,
Americas,Caribbean,British Virgin Islands,MD,, 1 , 1 , 2 , 4 ,, 2 ,,,,,,,,,,,,, 4.7 , 4.6 , 9.1 , 17.7 ,, 8.4 ,,,,,,,,,,
Americas,Caribbean,Cayman Islands,MD/WHO/NSO, 4 , 2 , -   , 3 , 5 , 3 , 1 , 2 , 4 , 8 , 9 ,,, 5 , 5 ,,,, 9.6 , 4.6 , -   , 6.5 , 10.6 , 6.2 , 2.0 , 3.9 , 7.6 , 14.7 , 16.2 ,,, 8.6 , 8.4 ,,
Americas,Caribbean,Cuba,MD/MOH, 587 , 605 , 661 , 642 , 660 , 684 , 576 , 568 , 515 , 565 , 505 , 534 , 621 , 674 , 600 , 619 , 572 ,, 5.3 , 5.4 , 5.9 , 5.7 , 5.9 , 6.1 , 5.1 , 5.0 , 4.6 , 5.0 , 4.5 , 4.7 , 5.5 , 5.9 , 5.2 , 5.4 , 5.0 
Americas,Caribbean,Curaçao,PAHO,, 10 , 39 , 43 , 41 , 26 , 18 , 26 ,,,,,,,,,,,, 7.7 , 30.3 , 33.6 , 32.0 , 20.1 , 13.6 , 19.2 ,,,,,,,,,
Americas,Caribbean,Dominica,UNSDC/OAS, 2 , 1 , 9 , 8 , 8 , 8 , 5 , 7 , 7 , 13 , 15 , 6 ,,,,,,, 2.9 , 1.4 , 12.9 , 11.4 , 11.4 , 11.3 , 7.1 , 9.9 , 9.8 , 18.3 , 21.0 , 8.4 ,,,,,
Americas,Caribbean,Dominican Republic,NGO/SES/CTS/RIC," 1,210 "," 1,095 "," 1,279 "," 1,902 "," 2,239 "," 2,394 "," 2,144 "," 2,111 "," 2,394 "," 2,375 "," 2,474 "," 2,513 "," 2,268 "," 1,978 "," 1,810 ",," 1,616 ",, 14.1 , 12.6 , 14.5 , 21.2 , 24.6 , 25.9 , 22.9 , 22.2 , 24.8 , 24.3 , 25.0 , 25.1 , 22.3 , 19.2 , 17.4 ,, 15.2 
Americas,Caribbean,Grenada,OAS/CTS, 15 , 6 , 14 , 9 , 6 , 11 , 12 , 11 , 16 , 7 , 10 , 4 , 14 , 6 , 8 , 6 , 11 ,, 14.8 , 5.9 , 13.7 , 8.8 , 5.8 , 10.7 , 11.6 , 10.6 , 15.4 , 6.7 , 9.6 , 3.8 , 13.3 , 5.7 , 7.5 , 5.6 , 10.2 
Americas,Caribbean,Guadeloupe,NP,,,,, 26 , 23 , 24 , 29 , 32 , 36 ,,,,,,,,,,,,, 6.0 , 5.2 , 5.4 , 6.5 , 7.2 , 8.0 ,,,,,,,
Americas,Caribbean,Haiti,OAS,,,,,,,, 486 , 498 , 598 , 677 , 914 ," 1,033 ",,,,,,,,,,,,, 5.1 , 5.1 , 6.1 , 6.8 , 9.0 , 10.0 ,,,,
Americas,Caribbean,Jamaica,OAS/CTS, 887 ," 1,139 "," 1,045 ", 975 ," 1,471 "," 1,674 "," 1,340 "," 1,584 "," 1,619 "," 1,683 "," 1,447 "," 1,133 "," 1,099 "," 1,201 "," 1,005 "," 1,208 "," 1,354 ",, 33.4 , 42.5 , 38.8 , 35.9 , 53.9 , 61.0 , 48.5 , 57.1 , 58.0 , 60.0 , 51.4 , 40.0 , 38.7 , 42.1 , 35.1 , 42.1 , 47.0 
Americas,Caribbean,Martinique,NP,,,,, 19 , 19 , 23 , 23 , 17 , 11 ,,,,,,,,,,,,, 4.8 , 4.8 , 5.8 , 5.8 , 4.3 , 2.8 ,,,,,,,
Americas,Caribbean,Montserrat,PAHO/WHO/MD, -   , -   , -   , -   , -   , 1 , 1 ,, 1 ,,,, 1 ,,,,,, -   , -   , -   , -   , -   , 20.9 , 20.6 ,, 20.4 ,,,, 19.9 ,,,,
